,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA
92655,4.125,128000,80,45,756,0,12940
92657,4.375,336000,85,44,782,1,10900
92658,4.5,120000,73,28,693,0,16940
92659,3.875,417000,58,40,682,0,46220
92660,4.375,92000,64,30,657,0,10740
92661,5.0,277000,79,37,672,1,33340
92662,4.0,148000,50,33,792,0,0
92663,4.375,190000,31,44,760,0,31080
92664,4.25,148000,93,35,683,0,24860
92665,4.0,530000,55,39,751,0,41940
92666,4.125,352000,77,42,734,0,14500
92667,4.125,80000,41,18,647,0,22220
92668,4.875,129000,80,36,684,0,40900
92669,4.625,272000,85,40,765,0,0
92670,4.0,204000,80,39,740,0,38900
92671,4.5,108000,62,22,776,0,0
92672,4.5,86000,80,32,757,1,0
92673,3.875,417000,34,30,745,0,13740
92674,4.0,208000,80,40,729,0,40140
92675,3.875,123000,55,48,815,0,16980
92676,4.125,110000,48,43,651,0,47260
92677,4.875,276000,80,30,690,0,12420
92678,3.875,95000,64,43,823,0,13980
92679,3.875,232000,73,32,798,0,14460
92680,4.75,118000,80,42,678,0,0
92681,4.5,119000,80,44,760,0,17460
92682,4.25,88000,80,11,786,0,19820
92683,4.25,311000,28,23,655,0,37980
92684,4.0,280000,78,45,778,0,28140
92685,3.98,81000,59,30,803,0,14260
92686,4.0,93000,79,43,745,1,44940
92687,4.75,107000,80,34,673,0,34580
92688,4.375,100000,60,44,625,0,35980
92689,4.375,252000,80,43,737,0,14460
92690,4.0,110000,56,41,773,0,12540
92692,4.375,368000,94,28,777,0,41860
92693,3.875,292000,78,40,766,0,16980
92694,3.875,121000,37,45,747,0,31100
92695,4.0,169000,60,30,673,0,33340
92696,4.125,110000,44,38,689,0,40900
92697,4.375,50000,80,28,722,1,42540
92698,3.875,101000,68,37,744,1,0
92699,4.125,175000,67,22,783,0,0
92700,4.25,105000,73,38,712,1,14860
92701,4.375,308000,70,23,682,1,14860
92702,4.0,103000,48,17,813,0,12580
92703,4.25,464000,80,31,795,0,35620
92704,4.25,417000,80,38,806,0,31100
92705,3.926,164000,80,45,762,1,33340
92707,4.125,160000,71,19,714,0,47900
92708,3.875,134000,90,40,678,0,20220
92709,4.05,360000,80,32,790,0,31080
92712,4.125,162000,75,33,795,0,33340
92713,3.875,331000,64,20,797,0,12580
92714,4.125,132000,80,37,796,0,16980
92715,4.0,66000,58,19,770,1,10420
92716,5.25,148000,80,31,698,0,10740
92717,4.25,156000,80,23,777,0,26900
92718,4.0,208000,90,37,737,0,21660
92719,3.875,200000,71,34,769,0,34900
92720,3.875,118000,54,41,811,0,0
92721,4.25,114000,76,32,704,0,19100
92722,4.0,416000,80,39,736,0,33100
92723,3.99,125000,71,42,769,0,45300
92724,3.75,46000,36,43,738,0,0
92725,4.0,95000,47,27,626,0,39820
92726,3.875,216000,80,45,755,0,16620
92727,3.75,375000,59,27,787,0,47260
92728,3.875,251000,74,27,786,0,16300
92729,4.125,374000,30,39,668,0,14860
92730,4.0,145000,68,45,803,0,31080
92732,5.25,113000,90,16,677,0,41180
92733,4.17,71000,22,21,725,0,31080
92734,4.125,130000,91,42,747,0,10900
92735,4.125,169000,80,41,801,0,49660
92736,4.99,90000,80,35,766,0,26900
92737,4.125,296000,55,41,692,0,14460
92738,4.5,128000,49,45,654,0,39300
92739,4.25,117000,74,30,676,0,19100
92740,4.875,408000,76,40,650,0,35620
92741,4.375,137000,80,33,743,0,0
92742,4.375,355000,71,41,687,0,31080
92743,4.5,171000,78,44,703,1,12060
92744,4.5,48000,15,45,735,0,14460
92745,3.875,383000,48,17,775,0,47900
92746,4.0,200000,33,25,737,0,31080
92747,4.875,170000,78,29,652,0,0
92748,4.0,290000,77,24,771,0,39580
92749,4.5,118000,80,45,723,0,38900
92750,4.375,226000,80,27,767,0,19100
92751,4.0,71000,45,22,809,0,31540
92752,4.375,177000,85,38,795,1,10740
92753,4.375,122000,82,24,748,0,46140
92754,4.0,417000,69,44,708,0,35620
92755,4.125,133000,96,38,740,0,45060
92756,4.375,284000,79,45,800,0,19740
92758,4.0,257000,77,44,668,0,19100
92759,3.875,254000,77,43,755,0,17020
92760,4.375,68000,59,38,711,0,30700
92761,4.49,277000,70,48,690,0,35620
92762,4.0,340000,77,44,780,0,42020
92763,4.625,167000,78,36,668,0,33740
92764,4.625,188000,80,35,709,1,0
92765,4.625,417000,49,43,692,0,31140
92766,3.942,284000,69,33,740,0,41940
