,Unnamed: 0,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA,Label,Score
337,92502,4.375,230000,70,19,722,0,41180,0,0.0149
338,92503,4.375,66000,80,43,764,0,41180,0,0.186
339,92504,3.875,195000,33,27,780,0,37100,0,0.0021
340,92505,4.0,279000,91,43,786,0,31540,0,0.0642
341,92506,4.0,375000,78,32,761,1,44300,0,0.0097
342,92507,4.125,417000,76,35,755,0,14460,0,0.0071
343,92508,3.875,214000,48,41,707,0,17900,0,0.0062
344,92509,4.375,186000,80,16,734,0,39580,0,0.0363
345,92510,4.5,100000,76,41,729,1,11700,0,0.1143
346,92511,4.5,270000,72,45,669,0,35620,0,0.0253
347,92512,3.875,148000,91,38,720,0,38540,0,0.1262
348,92513,3.875,85000,27,39,786,0,10580,0,0.0051
349,92514,4.0,70000,67,29,679,0,46060,0,0.0449
350,92515,4.375,175000,79,36,680,0,16700,0,0.0597
351,92516,4.0,272000,47,44,724,0,47900,0,0.0044
352,92517,4.75,142000,79,16,715,0,16980,0,0.0564
353,92518,3.99,417000,49,17,809,0,47900,0,0.0008
354,92519,3.875,536000,60,37,726,0,41860,0,0.0009
355,92520,3.875,158000,80,34,717,0,28140,0,0.0562
356,92521,4.5,70000,62,26,810,0,23420,0,0.0482
357,92522,4.375,211000,70,32,660,0,39300,0,0.0229
358,92523,4.875,200000,80,34,719,0,0,0,0.0674
359,92524,4.375,56000,80,18,779,0,17460,0,0.1093
360,92525,4.5,236000,80,35,680,0,48300,0,0.0411
361,92526,4.25,285000,60,40,690,0,35620,0,0.0085
362,92527,4.375,364000,86,34,796,0,41860,0,0.0235
363,92528,3.99,111000,80,33,776,1,25540,0,0.0898
364,92529,4.125,168000,65,46,725,0,16980,0,0.0342
365,92530,3.875,248000,80,38,728,0,24420,0,0.0318
366,92532,4.375,260000,73,28,783,0,31080,0,0.0201
367,92533,4.375,140000,55,29,648,0,40060,0,0.0145
368,92534,3.99,260000,60,44,793,0,0,0,0.0119
369,92535,4.625,104000,80,30,731,1,37980,0,0.111
370,92536,4.25,65000,36,33,638,0,12100,0,0.0085
371,92537,3.99,213000,78,44,711,0,14460,0,0.0453
372,92538,3.875,185000,53,29,763,0,47900,0,0.0082
373,92539,4.25,300000,75,45,757,0,19100,0,0.0241
374,92540,4.125,404000,79,26,739,0,16980,0,0.0071
375,92541,3.875,351000,38,22,759,0,41740,0,0.0007
376,92542,4.125,224000,80,32,786,0,0,0,0.0402
